mineralization,SO4,Cl,HCO3,Na,Ca,Mg,K,Ba,Fe,CO2,pH,Eh,t
2603.3,0.05,393.9,264.2,616.1,65.86,47.36,0.05,6.825,2.132,389.4,5.84,306.0,8.7
3104.2,0.05,555.0,321.4,936.4,112.63,108.45,5.86,1.154,1.562,249.2,5.66,106.4,10.3
1267.9,40.26,364.0,210.7,179.4,10.16,16.23,3.89,1.176,2.901,175.6,7.32,263.3,11.1
2150.3,21.12,572.8,97.2,83.5,183.94,26.79,11.34,3.035,3.666,265.8,7.65,253.0,11.9
3186.1,48.51,643.0,332.8,736.1,48.78,50.76,12.1,2.692,3.287,478.3,6.62,,13.4
1494.3,12.38,271.8,190.7,490.2,28.93,35.22,5.41,0.304,0.033,142.9,7.54,265.8,12.4
3734.7,60.14,694.7,515.3,1099.3,116.5,11.01,2.78,1.512,0.414,609.5,7.64,173.8,13.4
2078.9,91.43,438.0,207.1,483.5,136.71,0.1,1.43,0.92,2.128,237.7,8.31,469.7,10.8
2502.3,80.15,322.5,303.7,476.7,100.82,25.78,9.12,0.857,0.942,,5.69,370.2,11.9
2077.6,68.42,347.2,42.5,557.7,31.74,4.01,0.56,1.505,8.089,115.2,6.08,256.7,11.3
9057.7,0.05,874.7,848.4,1463.6,589.53,105.08,17.54,1.059,2.19,1966.9,5.71,206.8,9.5
2956.9,8.08,591.3,408.5,735.0,161.51,56.24,11.83,1.651,6.272,,8.1,300.4,8.1
1580.3,0.05,335.6,127.5,395.6,80.23,12.44,1.64,0.468,0.45,203.7,7.88,326.7,10.7
4883.1,38.38,761.0,597.5,1384.9,265.22,17.51,30.33,0.216,3.99,467.9,7.22,275.5,7.0
1433.0,49.22,370.7,197.6,552.5,125.94,22.29,7.81,3.128,0.775,82.0,5.75,148.5,9.7
3378.9,93.78,401.1,359.2,822.9,282.82,74.0,0.05,3.517,9.125,334.1,6.32,229.0,13.1
919.8,15.34,98.2,116.7,174.3,24.16,1.32,1.04,2.975,0.343,96.9,6.39,,12.4
1343.6,26.42,256.9,109.5,293.5,97.38,28.97,0.05,1.445,1.453,171.1,7.18,279.0,12.0
3354.7,32.43,779.5,374.8,382.0,159.9,72.25,4.81,0.981,3.149,553.0,6.27,281.3,14.4
4642.8,107.12,1226.6,670.5,827.9,232.06,105.08,21.04,0.742,1.134,592.6,5.72,323.1,10.5
3303.8,104.03,518.9,417.2,645.7,20.33,81.76,7.18,0.602,1.263,424.0,7.69,384.2,13.4
2781.1,0.05,650.6,268.5,524.4,101.77,90.71,10.91,1.296,8.589,376.5,6.4,351.3,10.4
2488.3,60.95,443.1,320.9,570.2,59.08,30.24,0.05,3.449,1.108,123.9,6.86,309.0,12.6
1227.7,41.72,210.4,182.4,209.5,69.44,19.49,5.64,0.677,1.853,65.7,5.88,124.2,12.3
1935.4,26.66,433.9,73.6,556.0,118.88,22.58,3.66,3.454,0.112,116.4,7.91,368.6,12.4
2261.1,68.99,480.8,376.2,497.5,0.5,33.95,6.84,0.233,3.693,237.6,7.2,331.9,11.2
5621.0,349.74,568.7,598.9,1233.5,222.36,153.25,15.82,1.727,2.089,253.7,8.2,224.4,12.6
3663.5,67.54,929.9,502.0,733.9,228.74,15.53,1.67,2.052,1.035,338.5,6.99,253.0,12.8
1035.0,26.81,257.7,173.8,237.3,37.54,8.4,0.72,0.827,0.033,67.6,8.32,256.6,9.1
3620.8,32.33,538.5,235.8,975.8,197.63,94.2,17.87,0.432,1.791,505.1,8.18,206.2,13.7
2366.0,53.75,472.7,216.8,397.4,111.26,54.8,8.99,2.808,0.025,325.3,7.23,,9.5
1985.9,53.43,406.5,215.4,358.5,93.01,24.02,10.13,1.455,0.002,214.4,8.3,138.3,10.2
4302.7,98.63,830.6,381.4,868.2,148.76,93.95,15.7,8.353,1.915,189.3,6.47,159.3,12.5
5533.6,26.03,843.8,1048.1,770.5,86.7,98.11,18.18,3.49,0.419,611.5,6.6,53.2,13.2
5212.3,120.38,763.2,446.8,890.5,91.58,140.74,0.05,3.512,0.426,694.0,5.64,,12.4
1801.7,75.55,322.0,176.2,344.9,97.63,28.1,4.43,0.025,2.118,274.6,7.27,364.1,12.7
2476.2,66.19,590.9,317.4,674.7,100.01,57.46,7.29,0.691,0.11,470.8,7.67,298.6,9.7
3636.4,125.2,753.4,261.5,857.3,135.38,131.41,25.11,0.372,0.752,599.1,7.82,152.9,11.0
5352.5,88.02,864.3,557.6,1239.7,168.72,105.9,23.41,0.082,0.324,677.6,5.95,181.2,7.9
2236.1,69.88,488.8,296.7,606.1,75.8,34.42,13.58,1.351,1.736,242.8,6.83,372.9,10.2
2666.7,64.51,100.2,284.5,564.7,162.51,55.41,11.19,2.752,2.168,240.8,6.03,370.4,9.3
1534.9,8.8,364.4,178.5,373.6,51.1,18.54,2.42,0.486,2.554,267.4,7.49,257.0,12.0
1454.3,36.03,135.3,143.7,310.9,19.17,49.6,4.7,0.092,0.589,184.2,5.97,367.5,16.7
4853.8,24.87,785.7,288.4,1145.1,266.34,79.8,16.85,0.535,0.187,704.9,8.21,173.4,13.5
6726.1,70.67,834.1,893.6,1244.6,241.48,86.2,7.54,1.203,0.164,648.3,6.19,272.7,7.5
2854.9,65.21,329.1,543.0,210.3,115.99,23.74,6.37,1.12,1.111,200.9,6.37,102.6,9.0
5443.2,133.13,1295.7,657.2,1153.6,392.73,129.43,14.09,1.414,5.832,566.0,8.05,213.6,9.4
3703.3,8.0,580.0,477.8,1130.9,146.61,81.24,23.0,2.016,0.491,399.5,6.88,252.8,8.5
2024.2,72.49,399.4,299.0,557.8,92.68,22.31,0.05,1.382,0.593,258.4,5.57,81.5,11.4
3702.8,105.83,657.8,256.3,1029.1,60.81,72.62,20.04,2.876,0.213,335.1,6.98,309.3,12.5
7501.2,70.73,1529.1,1411.0,2206.6,267.09,21.99,8.45,0.497,1.861,907.6,5.75,326.0,9.4
2917.6,0.05,536.4,373.7,657.4,152.27,48.08,0.75,1.075,2.278,487.5,8.46,351.1,11.6
7621.9,135.87,883.0,1412.1,1767.1,67.78,141.94,40.85,2.303,2.06,404.6,7.26,,12.4
619.0,8.24,142.3,56.1,113.2,27.25,17.74,2.76,1.797,3.948,21.9,6.27,291.7,13.4
4881.2,105.91,758.1,940.7,981.3,205.09,43.12,26.89,5.372,1.333,829.0,7.19,243.6,12.3
3140.8,45.71,320.9,474.3,807.0,128.22,14.99,14.45,0.522,0.289,,5.73,,12.7
2491.4,0.05,395.1,354.1,728.1,151.33,19.52,17.74,2.338,0.683,261.1,7.9,,11.9
3149.7,44.65,803.3,407.4,666.6,147.05,13.57,12.97,0.732,2.172,454.6,8.28,305.9,10.0
904.6,13.94,201.3,99.6,174.6,62.92,23.24,2.43,0.648,1.899,106.4,8.12,114.4,10.4
2612.9,77.09,424.8,439.0,574.9,52.59,71.56,9.63,3.329,1.514,305.9,6.53,,9.4
3693.3,35.19,600.3,463.9,945.7,157.77,64.86,20.26,1.368,2.297,453.9,6.48,251.1,15.0
7235.4,326.89,1186.0,298.9,965.0,301.64,179.22,10.43,1.77,2.029,1597.2,5.61,303.0,9.1
2184.3,0.05,620.0,164.5,179.6,40.66,35.1,3.71,0.793,4.263,417.7,7.45,335.6,13.9
1835.2,72.8,365.4,206.6,343.1,108.51,26.13,4.37,0.843,1.764,169.3,7.1,196.3,9.1
2206.0,36.7,444.5,292.1,323.7,190.81,27.21,0.05,0.21,3.016,357.5,6.88,270.1,13.5
5162.8,169.83,1195.3,607.9,978.4,204.76,64.62,16.91,1.65,0.572,723.9,8.22,307.4,13.9
3631.0,76.97,696.9,612.8,766.6,181.91,9.5,0.05,0.441,2.268,,6.0,231.8,14.3
2169.3,80.47,362.4,91.0,418.2,90.44,37.12,6.74,1.224,4.65,181.5,5.53,,9.9
4056.0,57.55,690.3,510.0,1245.8,104.35,59.53,19.19,2.874,0.975,560.0,5.72,,12.3
3159.7,11.12,557.4,149.4,757.1,11.33,66.24,6.47,0.131,3.02,,6.17,232.2,10.8
5330.4,220.19,949.6,801.6,1268.8,137.98,83.94,33.87,9.965,2.58,558.7,5.6,130.3,10.2
1956.2,35.79,423.3,227.4,503.4,23.79,26.8,0.15,0.633,0.123,174.7,7.01,,12.1
2448.9,57.12,447.2,335.0,371.4,181.42,19.67,13.18,1.258,1.742,391.8,6.44,141.4,13.6
2356.0,90.76,510.4,201.3,665.2,88.82,36.7,10.25,1.769,0.279,210.4,6.04,240.5,10.8
1238.8,5.6,218.0,212.1,266.9,40.98,25.9,0.05,0.61,6.842,110.9,7.75,282.2,12.7
3560.6,103.02,654.9,575.6,926.6,205.74,20.84,29.99,0.874,3.336,538.1,6.11,295.5,10.2
3486.4,38.88,279.2,499.8,542.8,61.24,54.74,10.01,3.414,0.232,398.2,7.56,267.0,9.9
2990.1,53.87,675.2,343.3,379.1,73.74,50.43,3.72,2.628,0.26,,6.55,-44.2,11.4
2589.6,54.6,511.0,370.8,696.8,107.11,23.97,0.48,1.097,1.805,417.7,7.04,179.7,11.5
1275.1,0.05,293.1,117.0,309.3,77.24,13.13,3.26,1.398,0.846,220.0,8.3,279.6,13.3
2316.0,19.26,81.5,357.2,384.2,115.88,39.01,6.36,1.589,0.071,80.8,5.61,239.1,9.5
2426.9,97.72,690.3,451.4,407.3,109.13,14.4,7.78,2.254,1.56,278.7,7.0,301.2,16.3
1842.0,61.33,318.7,299.9,529.6,76.56,32.79,4.43,2.39,0.982,,8.06,352.1,8.4
2706.0,51.58,637.0,245.7,402.2,129.9,21.21,11.55,2.338,0.213,282.9,7.26,300.7,12.5
3798.8,89.83,486.3,510.8,1210.1,167.27,89.28,8.45,0.933,3.238,,6.33,177.1,11.4
9243.8,144.08,1947.1,631.1,1534.1,179.34,311.54,0.05,1.544,4.932,,6.69,196.1,10.7
3310.1,133.56,421.5,473.0,855.0,135.46,26.86,8.94,3.133,2.826,261.5,7.54,413.1,11.6
3479.1,59.13,517.7,480.2,696.8,64.45,67.06,0.05,6.649,3.457,267.8,8.17,232.1,13.3
2850.7,66.93,786.0,128.9,730.3,118.65,26.19,10.57,1.506,0.488,,5.62,240.5,13.7
942.7,35.06,160.7,69.3,176.6,28.65,21.99,0.98,0.81,0.612,171.0,5.71,301.0,11.6
2933.9,24.47,560.0,318.8,616.8,266.36,14.31,9.76,0.597,0.468,110.3,6.48,373.7,12.7
3090.7,134.08,690.8,333.7,687.5,121.16,58.24,17.39,2.353,2.897,330.4,6.2,159.9,9.3
13068.3,0.05,2676.2,936.0,2089.2,155.71,104.76,14.41,0.195,5.91,,6.29,200.4,11.6
2656.0,118.05,498.1,360.0,702.4,99.11,35.44,13.61,2.373,2.523,315.3,6.16,89.6,12.8
3572.2,51.47,708.2,464.6,675.9,179.99,24.12,7.62,2.407,4.265,269.5,6.09,220.4,7.4
2919.5,47.76,876.4,327.7,602.2,214.49,63.0,19.0,0.841,2.036,294.5,5.89,306.8,12.2
1478.5,0.05,261.9,132.7,237.1,41.71,12.28,3.36,1.734,0.981,195.3,8.3,213.6,11.7
5917.6,77.98,1124.7,958.4,392.1,49.42,114.9,7.81,1.133,1.109,637.4,5.93,426.0,14.5
4680.5,20.61,1088.4,871.6,976.1,263.68,57.32,20.47,0.286,0.157,,6.11,261.6,12.3
4791.6,52.16,1127.3,482.3,1747.8,59.36,67.49,10.2,2.231,0.064,,6.24,239.8,13.0
1727.4,30.99,413.5,165.0,461.3,54.03,27.95,2.28,2.067,2.378,171.1,8.3,,11.5
6916.6,237.7,1465.9,965.9,1513.7,241.03,61.59,14.14,0.911,1.154,1055.9,7.77,114.0,13.3
1285.5,29.71,157.9,135.8,262.5,49.63,21.45,3.74,6.574,1.607,129.7,7.87,241.0,13.1
4239.1,104.35,1109.3,485.1,938.3,227.99,115.49,24.1,1.408,1.631,338.2,5.81,285.8,9.4
11095.3,39.58,1361.2,1659.7,2805.2,292.11,97.36,0.05,0.111,0.65,2321.0,8.01,238.2,12.6
1645.3,11.17,321.1,71.8,245.4,56.8,40.1,5.01,3.263,1.292,192.3,6.72,273.1,14.4
2122.2,99.7,302.0,366.6,608.8,84.28,57.27,9.02,2.69,1.273,33.9,6.29,182.9,14.0
3164.6,28.39,559.5,389.0,832.1,136.05,26.81,10.72,2.95,0.983,538.6,7.23,125.5,12.1
2203.7,98.82,432.9,228.2,579.8,92.46,7.4,12.38,0.471,3.437,374.8,7.97,239.4,12.6
1175.7,19.23,230.5,136.9,289.6,57.28,20.48,3.35,1.694,1.2,162.6,7.84,272.1,13.8
3106.1,62.23,624.6,368.1,687.0,176.67,32.99,8.17,1.387,1.851,451.2,8.17,233.1,9.7
1576.0,56.82,410.8,80.0,410.3,75.41,47.2,6.59,1.187,4.518,325.3,8.28,270.4,12.9
3960.6,154.77,802.7,712.1,1012.0,194.35,60.51,12.67,3.95,4.023,322.7,6.21,327.7,8.1
1717.0,31.49,288.1,208.9,341.3,14.35,14.74,3.81,1.426,4.422,215.2,6.77,,13.7
7555.0,107.1,1724.1,1040.5,1402.1,309.79,43.99,30.46,0.943,0.629,1501.8,5.54,335.7,11.2
1863.2,35.7,446.2,294.5,421.3,92.4,44.19,3.16,0.934,0.071,386.2,8.14,350.5,11.8
2457.2,61.6,291.5,194.5,768.9,134.11,25.63,4.37,0.429,0.605,258.9,5.96,299.7,10.9
4856.7,162.07,1019.3,674.8,707.4,127.02,74.55,9.44,1.554,0.653,973.3,8.08,285.6,11.9
1424.4,28.58,306.3,155.7,187.9,38.2,32.26,8.13,4.185,4.802,216.7,6.49,444.3,12.5
3416.9,100.06,564.2,525.8,785.5,97.44,38.02,0.05,1.022,2.095,614.4,6.6,328.4,13.5
6530.8,291.11,1624.8,228.0,1456.7,331.3,95.56,24.76,1.778,0.17,984.8,5.62,165.5,14.6
1136.3,29.22,196.0,131.8,261.8,68.95,16.89,3.49,1.169,0.291,150.2,6.48,63.7,12.1
3330.2,82.17,620.3,319.3,781.4,106.07,68.16,0.05,1.291,0.338,693.9,8.17,225.9,8.7
3484.0,0.05,597.0,478.3,719.8,202.63,68.72,12.61,2.788,1.991,344.4,5.58,312.5,14.6
4765.2,0.05,861.4,661.4,1474.3,202.38,63.09,18.83,0.422,2.659,,6.72,345.9,9.1
1419.2,36.65,177.7,130.1,175.9,53.24,22.01,5.93,0.226,3.927,287.3,5.59,125.0,11.2
1349.8,25.08,145.8,123.5,229.9,48.29,16.23,0.05,3.267,5.648,235.6,6.61,322.9,11.0
4077.2,50.06,1059.0,471.2,871.7,223.97,12.96,23.37,0.817,0.451,477.6,6.02,363.5,12.0
3562.4,84.26,490.4,299.7,432.5,165.69,60.78,5.43,0.954,0.741,462.3,6.26,310.9,9.5
3464.4,66.15,451.9,532.4,725.6,296.26,104.41,15.15,7.621,0.55,239.1,8.13,,9.4
3669.7,135.47,265.4,386.2,1173.2,84.24,29.1,16.45,2.677,0.889,373.9,6.81,236.7,12.0
1982.2,42.21,293.5,7.4,438.6,99.83,17.47,2.47,0.552,4.922,287.1,6.32,204.0,10.4
3426.7,30.14,390.1,359.8,801.3,100.8,27.53,14.81,3.448,1.712,215.6,7.27,328.6,14.7
3554.1,123.87,931.5,278.8,513.2,80.37,73.91,7.92,2.727,2.68,384.1,5.93,308.3,10.9
1941.8,32.51,447.6,106.3,355.4,77.25,36.09,0.05,1.606,1.347,384.1,6.28,217.3,9.9
9131.3,254.75,1329.5,643.8,1803.3,390.34,125.39,48.72,0.448,0.059,1039.4,7.14,504.2,15.3
3961.2,50.86,1159.1,492.7,795.9,389.64,30.33,5.74,1.289,0.133,,6.21,99.0,12.9
1458.6,14.95,334.1,252.5,433.1,52.97,22.96,1.88,6.665,1.544,208.1,7.54,226.8,17.4
4420.2,93.98,723.8,585.8,1120.3,76.9,10.98,9.7,2.883,2.537,476.0,6.97,,8.2
1661.0,33.54,91.4,159.0,254.7,75.51,26.82,5.89,3.199,0.485,189.0,7.82,288.4,12.4
4780.3,130.01,1408.0,660.8,1122.4,0.5,105.03,13.79,1.171,2.56,605.5,8.34,55.1,13.0
5973.9,95.41,660.2,607.2,1492.8,227.97,29.81,24.47,3.21,3.328,226.8,5.85,376.9,12.1
1821.8,0.05,178.0,168.0,525.4,73.46,4.99,0.58,0.658,1.062,287.6,6.5,,11.3
5313.6,71.78,1228.1,392.3,1672.9,296.99,146.84,8.05,1.588,2.744,612.5,6.46,276.7,14.5
3818.7,121.84,1153.2,190.7,607.5,227.11,38.59,10.57,2.778,1.035,608.2,5.95,219.0,12.9
4881.6,75.86,1216.6,509.7,836.5,146.1,117.59,33.17,2.71,2.269,661.6,7.93,321.6,8.6
9302.8,151.68,1936.8,1175.2,1344.7,344.09,128.08,25.79,0.247,2.888,1055.9,7.78,282.9,10.3
2572.8,89.52,539.6,298.8,529.9,63.49,35.26,13.3,5.627,9.638,329.1,6.95,345.2,9.7
1896.5,17.68,422.3,196.0,470.3,33.07,35.1,5.84,0.526,0.847,242.8,7.11,237.8,11.8
1748.1,0.05,381.0,143.6,488.1,80.76,13.86,3.55,8.618,1.059,313.0,5.68,231.9,13.9
1827.2,32.14,354.6,263.7,393.6,26.55,29.34,4.58,2.845,0.362,223.8,7.17,357.8,11.2
2846.2,36.25,527.1,191.6,571.5,90.25,34.01,7.58,2.652,0.456,374.4,7.87,313.4,11.5
3658.1,20.14,647.0,552.5,838.1,73.51,16.23,15.39,0.58,2.364,254.3,7.22,232.6,10.0
3519.3,61.13,500.8,281.2,597.9,179.46,62.29,20.23,0.853,4.979,415.7,6.3,286.8,13.5
4896.7,134.03,812.7,440.2,1691.2,372.29,63.14,18.21,5.293,1.004,872.5,7.5,268.5,14.5
3004.3,59.67,286.5,184.2,371.2,41.96,41.29,16.15,4.787,0.397,412.0,6.58,296.7,11.9
7130.4,175.44,1248.4,712.6,1647.7,20.96,37.92,7.63,1.203,0.671,547.3,7.13,376.9,15.2
2543.3,120.05,332.1,404.4,868.3,95.38,70.53,5.52,1.108,1.214,206.1,6.96,215.0,10.9
15246.4,226.51,1903.1,2144.0,3360.4,614.64,335.63,23.65,1.139,0.687,1377.4,6.64,185.5,9.2
4339.0,104.9,820.0,690.5,905.1,192.54,98.55,15.75,3.466,0.532,694.2,7.66,277.4,13.6
1782.4,22.03,444.9,251.1,353.9,55.38,22.38,4.07,3.207,2.663,276.4,8.15,,11.8
1567.9,11.45,354.2,118.9,328.0,56.42,1.83,6.99,1.966,0.016,-28.5,5.52,158.9,10.8
3981.8,44.7,404.1,425.1,1204.0,188.54,121.94,4.53,1.602,1.55,464.9,8.3,349.4,12.2
2606.9,33.42,340.3,231.5,227.6,158.52,37.83,8.05,1.19,3.157,328.2,7.03,221.3,8.8
4575.2,116.17,1038.7,792.5,1427.5,4.11,41.22,20.01,8.128,0.619,,7.6,63.2,8.5
3959.8,218.72,518.2,285.6,532.8,129.17,72.6,0.05,0.287,1.849,413.3,8.07,334.7,12.2
2853.5,26.42,481.6,444.4,582.1,126.34,69.45,20.67,0.967,2.211,494.3,6.9,206.2,12.9
1793.5,24.66,372.2,279.3,348.4,38.81,26.57,4.36,1.851,2.129,244.6,8.0,307.8,14.8
1201.2,22.89,158.1,232.1,306.7,89.64,30.31,0.05,0.214,1.181,120.1,6.03,,13.8
2280.4,59.15,422.5,236.3,283.0,62.24,53.96,7.56,0.795,0.851,256.6,5.98,269.0,13.3
4983.3,119.37,564.6,740.0,1234.5,195.21,31.84,15.28,6.602,3.615,552.6,7.47,46.5,14.5
3389.6,133.08,508.2,716.1,1157.4,173.28,32.57,9.61,3.04,2.841,445.0,8.11,53.6,13.0
1411.7,0.05,276.7,134.5,195.1,39.77,31.99,7.03,0.789,0.775,88.7,8.18,182.8,11.3
3307.4,0.05,331.9,193.8,765.3,10.15,0.1,14.87,0.764,0.217,308.3,7.43,,13.8
3756.3,47.19,758.9,168.3,677.2,118.05,51.85,13.51,0.29,0.149,606.3,7.08,,13.8
1754.1,63.95,314.0,260.5,430.7,106.28,6.23,6.84,0.908,0.198,205.4,6.49,279.1,12.0
3269.0,0.05,678.7,146.0,722.9,108.73,36.57,9.12,2.274,1.749,281.1,8.44,511.7,9.6
3086.9,0.05,590.2,324.5,560.3,71.22,38.92,20.22,1.957,0.106,270.6,6.46,100.9,8.4
1501.5,42.89,372.7,206.4,374.3,87.86,18.22,0.06,0.957,0.822,223.5,7.73,262.1,13.7
3694.8,87.4,688.2,470.7,1212.8,123.35,39.1,12.12,0.517,2.798,366.8,7.1,205.5,13.0
4173.3,15.22,661.6,571.8,870.3,124.35,25.97,13.06,1.174,0.697,586.1,7.33,273.5,13.2
5709.2,29.78,1062.6,735.9,1502.6,245.43,190.32,26.41,1.15,2.882,542.0,6.68,425.2,13.8
5609.9,30.6,1162.2,960.2,798.9,310.87,167.96,7.36,2.733,2.737,419.6,8.39,431.5,10.2
1304.3,28.25,238.0,106.8,212.1,114.3,7.44,0.05,1.721,0.564,169.3,7.22,255.4,8.2
1698.2,18.01,309.1,157.8,421.7,96.02,46.97,5.63,1.524,2.61,197.2,8.31,336.2,13.0
4060.3,111.3,588.3,361.8,1254.8,256.6,47.93,14.46,3.708,2.755,598.5,5.52,271.6,14.4
4057.3,0.05,595.8,621.6,979.2,121.23,65.05,24.26,4.754,1.013,630.4,7.22,142.5,12.7
4060.4,29.02,446.1,633.5,817.0,79.11,58.85,1.86,1.937,0.473,,7.65,251.4,9.0
26000.0,80.84,6954.4,3589.3,5718.9,1072.41,252.77,138.04,1.978,1.473,3482.9,7.74,199.5,12.5
4198.7,67.83,494.6,702.6,608.7,176.95,96.03,32.48,1.254,5.087,438.5,8.21,243.7,9.8
5891.9,70.29,856.4,429.4,1509.9,108.59,94.31,13.22,0.571,2.041,856.4,5.51,164.8,8.9
5283.8,168.91,761.3,986.4,1442.2,192.83,59.11,2.21,2.912,0.38,683.4,5.5,265.5,12.0
4406.5,0.05,990.3,797.3,849.9,211.45,20.11,9.63,2.472,2.296,418.8,6.92,280.6,12.3
2467.2,51.03,407.7,368.7,473.2,116.47,19.37,7.47,1.352,1.114,,5.59,320.4,11.8
4700.3,133.37,1139.3,899.0,1109.0,235.42,8.78,19.4,1.726,1.791,614.5,8.42,281.0,12.9
1874.9,89.71,274.3,100.7,363.3,85.91,28.31,3.41,3.518,2.649,312.1,6.17,413.5,10.4
2586.1,33.03,501.6,256.1,558.7,77.22,14.03,15.8,3.986,1.447,403.6,6.92,469.2,12.2
2227.8,55.4,308.0,201.8,770.8,66.22,28.68,1.72,0.734,3.364,183.3,5.68,209.5,11.0
3131.1,0.05,899.4,466.1,642.4,50.16,81.28,0.05,1.348,2.561,270.8,7.07,,11.5
11953.7,0.05,1441.9,932.3,2372.8,904.84,293.99,62.32,0.428,1.909,1104.3,6.64,,12.5
972.3,31.77,190.1,146.1,176.1,39.15,14.33,0.05,1.766,0.327,,5.63,349.6,14.1
4499.7,89.62,952.5,786.6,1190.8,159.75,64.36,11.66,0.776,3.615,213.0,6.51,321.7,12.6
1132.7,42.68,227.3,167.4,236.9,24.27,34.03,10.46,1.818,5.495,171.7,6.67,,13.2
2245.9,0.05,383.4,295.0,406.6,221.7,43.04,6.68,0.801,0.295,228.5,8.47,194.2,12.0
5729.4,159.27,994.1,461.1,1714.7,106.19,70.92,4.35,0.837,1.34,793.4,6.12,208.8,13.0
3098.2,148.81,564.5,266.8,945.5,97.35,11.13,8.94,1.806,0.599,332.6,7.13,388.7,14.1
1561.4,41.06,269.6,265.4,287.3,75.44,28.34,4.53,3.014,2.809,185.9,8.46,176.9,15.8
1940.7,46.87,442.9,293.4,209.6,100.93,41.99,6.45,2.355,2.558,179.7,7.88,,14.4
4481.7,90.21,1302.1,530.8,1256.9,265.13,44.58,19.38,1.358,0.304,532.7,8.48,334.0,11.9
1923.3,0.05,292.6,198.6,344.1,146.46,33.33,1.77,0.128,4.192,163.8,8.4,172.4,14.3
3394.4,136.91,378.5,132.3,907.8,170.14,41.04,21.64,0.817,0.399,404.5,6.97,277.9,13.1
3063.6,33.2,537.9,236.4,311.9,57.84,41.44,10.69,0.726,3.192,546.2,7.59,,10.8
2016.3,55.58,623.0,396.1,551.6,70.29,0.1,8.98,2.597,1.221,,5.83,337.7,13.1
10789.9,0.05,1508.6,742.1,1589.7,498.03,142.7,18.81,1.614,0.796,1420.4,6.82,315.9,9.7
4360.5,10.06,1142.3,556.3,1150.5,354.79,99.22,24.3,1.668,0.345,,7.93,312.7,13.1
884.4,36.73,233.4,141.8,195.3,10.65,8.8,2.2,0.601,0.367,126.2,7.02,270.1,15.5
3333.8,49.31,507.8,232.7,542.6,213.54,51.41,11.85,4.11,2.169,488.7,7.61,82.4,13.6
2004.1,83.77,417.7,255.3,391.9,87.37,17.94,2.27,1.658,1.599,262.0,7.74,264.0,14.4
4971.4,93.59,1299.6,783.1,1298.4,282.16,88.91,5.0,0.561,0.26,639.2,6.26,,11.2
1852.9,0.05,298.4,223.3,419.4,70.33,24.58,8.11,0.608,0.239,212.0,8.13,326.7,13.0
2782.6,92.89,472.6,653.2,709.8,64.42,20.83,5.88,1.877,0.15,406.2,6.88,207.7,13.4
4035.9,45.01,609.1,214.9,1366.5,222.05,103.56,5.22,0.537,2.723,709.8,6.13,254.2,11.4
5011.3,152.75,647.8,813.6,632.2,266.04,112.41,8.59,0.736,2.489,,8.1,257.3,13.4
